feature,coefficient,absolute_importance
trend_change_lag_5,-0.8110651607107364,0.8110651607107364
trend_change_lag_3,-0.6299698489355919,0.6299698489355919
volatility_14,0.6095525522067493,0.6095525522067493
volume,0.5868174210505825,0.5868174210505825
volume_ma_ratio_3,-0.5791829923280067,0.5791829923280067
volume_lag_3,-0.5475760004145787,0.5475760004145787
trend_volatility_14,-0.5277622114409125,0.5277622114409125
volatility_7,-0.516427603151333,0.516427603151333
volume_ma_ratio_14,0.4979541687457599,0.4979541687457599
trend_ma_ratio_14,0.4633487011637202,0.4633487011637202
trend_change_lag_2,0.43908948123342906,0.43908948123342906
taker_buy_quote_volume,-0.4350284198443421,0.4350284198443421
volume_ma_7,0.40616657751755947,0.40616657751755947
trades_change,0.403240217741648,0.403240217741648
price_return_lag_2,-0.38508462362863566,0.38508462362863566
trend_volatility_7,-0.3820501782366832,0.3820501782366832
high_low_range,-0.3607680223248139,0.3607680223248139
volume_ma_14,-0.34655487351968267,0.34655487351968267
high_close_ratio,0.3387203220929564,0.3387203220929564
low_close_ratio,0.33186318713053425,0.33186318713053425
number_of_trades,-0.3184316121059986,0.3184316121059986
trend_change_lag_7,0.30287927954181837,0.30287927954181837
volume_log,-0.2667219533036515,0.2667219533036515
volume_lag_2,-0.23278217287570488,0.23278217287570488
trend_ma_14,-0.21733442853779023,0.21733442853779023
trend_ma_ratio_7,-0.21541117797557047,0.21541117797557047
volume_ma_3,0.21205708970773732,0.21205708970773732
quote_asset_volume,0.2103411102128667,0.2103411102128667
price_return_lag_1,-0.20105572905975558,0.20105572905975558
price_return_lag_3,-0.1981374627669334,0.1981374627669334
close,0.19701803105928545,0.19701803105928545
close_lag_2,-0.1917062167964294,0.1917062167964294
close_ma_ratio_14,-0.1908347055080594,0.1908347055080594
volume_lag_1,0.159313240047867,0.159313240047867
volume_lag_7,0.14436084218616274,0.14436084218616274
volume_lag_5,-0.14246326748296329,0.14246326748296329
trend_ma_7,0.13655097498264598,0.13655097498264598
taker_buy_ratio,0.13525015869271675,0.13525015869271675
trend_lag_5,0.13345545524346072,0.13345545524346072
trend_lag_1,0.122518501910947,0.122518501910947
trend_ma_3,0.11500409338949376,0.11500409338949376
trend,0.11213739038052124,0.11213739038052124
close_ma_14,0.11189989422261878,0.11189989422261878
close_lag_3,-0.10802674668655916,0.10802674668655916
trend_lag_2,0.10752382500971987,0.10752382500971987
taker_buy_base_volume,-0.1027670477421776,0.1027670477421776
volume_ma_ratio_7,0.10162565634426522,0.10162565634426522
low,0.10032857212752905,0.10032857212752905
trend_ma_ratio_3,-0.09472850419491317,0.09472850419491317
trend_change_lag_1,0.09453660984722152,0.09453660984722152
close_open_ratio,0.09277466516324073,0.09277466516324073
open_close_change,0.09277466516322486,0.09277466516322486
price_return,0.09264304275822381,0.09264304275822381
high,0.0881668126904648,0.0881668126904648
close_lag_7,-0.0825385093177946,0.0825385093177946
trend_change,-0.06352067829908868,0.06352067829908868
log_return,-0.06185675375759332,0.06185675375759332
close_ma_ratio_7,0.05551580273797117,0.05551580273797117
close_lag_5,-0.052914409487492535,0.052914409487492535
open,-0.05009737389674147,0.05009737389674147
close_lag_1,-0.05008907600515067,0.05008907600515067
trend_lag_7,0.04863659985513471,0.04863659985513471
close_ma_ratio_3,0.04552842818960879,0.04552842818960879
close_ma_7,-0.03720852108179147,0.03720852108179147
trend_lag_3,0.03706192251081871,0.03706192251081871
trend_pct_change,-0.022156813932072052,0.022156813932072052
price_return_lag_7,0.02137923011898834,0.02137923011898834
volume_change,0.017847214055533918,0.017847214055533918
close_ma_3,-0.015266853858311063,0.015266853858311063
price_return_lag_5,-0.006278513205547643,0.006278513205547643
